id,text
59,"[밀레] 통돌이 블랙라벨 플러스 T18SV 791,500원"
60,"[삼성 전자] 플렉스워시 WR24M9970KV 848,370원"
61,"[삼성 전자] 버블샷 WD14F5K3ACW1 2,860,940원"
62,"[삼성 전자] 액티브워시 WA17M7850GV 2,341,910원"
63,"[삼성 전자] 액티브워시 WA16N6790TS 446,970원"
64,"[밀레] 통돌이 TR15SK1 1,367,310원"
65,"[밀레] 프리미엄 F19VBAT 1,990,480원"
66,"[밀레] 통돌이 블랙라벨 플러스 TS16BV 647,780원"
67,"[밀레] 통돌이 블랙라벨 플러스 TS20VV 848,840원"
68,"[삼성 전자] 버블샷 WF12F9K3UMW11 555,630원"
69,"[삼성 전자] 워블 WA15M6551KS 471,540원"
70,"[밀레] 프리미엄 트윈워시 FH17VBC 1,007,430원"
71,"[밀레] 프리미엄 F21VBT 1,610,990원"
72,"[삼성 전자] 플렉스워시 WV22M9670KW 1,358,170원"
73,"[밀레] 프리미엄 F9WKB 480,220원"
74,"[밀레] 프리미엄 트윈워시 F19VDTM 4,174,450원"
75,"[밀레] 통돌이 블랙라벨 플러스 T17WR 3,431,000원"
76,"[삼성 전자] 액티브워시 WA19N7870GV 599,720원"
77,"[밀레] 프리미엄 F10WR 3,827,950원"
78,"[밀레] 프리미엄 트윈워시 F17WDSWC 825,670원"
79,"[밀레] 프리미엄 F18WDSU 760,950원"
80,"[밀레] 프리미엄 트윈워시 F21VBWC 1,818,620원"
81,"[삼성 전자] 플렉스워시 WV24N9670KP 801,910원"
82,"[밀레] 프리미엄 트윈워시 F19VDWC 2,087,830원"
83,"[밀레] 통돌이 블랙라벨 플러스 T17DR 1,500,880원"
84,"[밀레] 프리미엄 FR9WK 1,798,600원"
85,"[밀레] 프리미엄 F21VDW 966,560원"
86,"[삼성 전자] 액티브워시 WA20R7870GV 524,820원"
87,"[밀레] 통돌이 TS22WD2 499,630원"
88,"[밀레] 프리미엄 트윈워시 F17VBWC 1,205,210원"
89,"[삼성 전자] 플렉스워시 WR26N9976KV 3,499,990원"
90,"[밀레] 통돌이 블랙라벨 TS22BV 3,007,790원"
91,"[대우전자] 공기방울 DWF-14GDGP 2,059,240원"
92,"[밀레] 프리미엄 트윈워시 F21VBTM 3,572,970원"
93,"[삼성 전자] 액티브워시 WA16N6790TW 1,216,080원"
94,"[밀레] 프리미엄 F16VDAT 296,990원"
95,"[밀레] 통돌이 블랙라벨 플러스 T15DT 1,750,860원"
96,"[밀레] 프리미엄 트윈워시 FH21VBWM 681,870원"
97,"[밀레] 프리미엄 F4VC 633,260원"
98,"[삼성 전자] 플렉스워시 WR20N9970KP 165,990원"
99,"[밀레] 프리미엄 F21BFW 2,700,000원"
100,"[밀레] 프리미엄 F19WF5 2,807,090원"
101,"[대우전자] 클라쎄 DWF-18GCPC 594,000원"
102,"[밀레] 프리미엄 F19VF5 1,378,840원"
103,"[삼성 전자] 버블샷 애드워시 WF17N7510TW 1,291,120원"
104,"[삼성 전자] 플렉스워시 WV22N9670KP 938,040원"
105,"[밀레] 프리미엄 트윈워시 FR17VPTM 561,020원"
106,"[대우전자] 클라쎄 DWD-35MCRCR 990,720원"
107,"[삼성 전자] 워블 WA18R7650GV 862,340원"
108,"[삼성 전자] 액티브워시 WA19N7870GW 1,395,990원"
109,"[대우전자] 공기방울 DWF-15GDRC 1,739,000원"
110,"[밀레] 통돌이 블랙라벨 플러스 T15DN 495,550원"
111,"[삼성 전자] 액티브워시 WA21N7870GV 811,030원"
112,"[삼성 전자] 액티브워시 WA15N6790CG 485,480원"
113,"[삼성 전자] 워블 WA17M7550KW 906,400원"
114,"[밀레] 프리미엄 F9WKBC 2,818,800원"
115,"[밀레] 프리미엄 F18VDU 472,350원"
116,"[대우전자] 클라쎄 DWF-18GCRC 470,270원"
117,"[밀레] 프리미엄 FH19VBW 1,787,220원"
118,"[삼성 전자] 버블샷 WD14F5K3ACW 272,310원"
119,"[밀레] 통돌이 TS22VD2 1,050,190원"
120,"[대우전자] 클라쎄 DWD-03MCWR 669,590원"
121,"[밀레] 통돌이 블랙라벨 플러스 T18SR 65,580원"
122,"[밀레] 프리미엄 F16WDAT 2,767,480원"
123,"[삼성 전자] 플렉스워시 WV26N9670KV 3,442,770원"
124,"[삼성 전자] 버블샷 WF17R7200KW 2,780,930원"
125,"[대우전자] 클라쎄 DWD-15PDWC 811,790원"
126,"[밀레] 통돌이 블랙라벨 플러스 TS20BV 380,710원"
127,"[밀레] 통돌이 블랙라벨 플러스 T16ST 815,990원"
128,"[삼성 전자] 플렉스워시 WR20N9970KV 1,725,950원"
129,"[밀레] 프리미엄 트윈워시 F10WRC 701,090원"
130,"[삼성 전자] 워블 WA80F5S2QWY 1,092,950원"
131,"[샤오미] REDMI 1A 149,000원"
132,"[밀레] 꼬망스 F5WR 498,380원"
133,"[밀레] 프리미엄 F17VDAU 989,990원"
134,"[밀레] 프리미엄 FR2655NC1Z 875,330원"
135,"[대우전자] 공기방울 DWF-06EBWB 230,720원"
136,"[삼성 전자] 액티브워시 WA17M7850TW 239,000원"
137,"[밀레] 프리미엄 F21KDT 2,246,930원"
138,"[삼성 전자] 워블 WA18R7650GW 3,156,630원"
139,"[삼성 전자] 액티브워시 WA22R7870GV 149,000원"
140,"[대우전자] 공기방울 DWF-11GAWB 431,990원"
141,"[밀레] 프리미엄 트윈워시 F18WDSUM 268,000원"
142,"[에코웰] 미니스핀 XPB20-88S 240,000원"
143,"[대우전자] 클라쎄 DWD-09RBWBB 74,090원"
144,"[대우전자] 클라쎄 DWD-35MCWC 3,146,980원"
145,"[밀레] 프리미엄 트윈워시 F21BFWM 346,070원"
146,"[삼성 전자] 버블샷 애드워시 WF23N9951KV 49,680원"
147,"[삼성 전자] 버블샷 애드워시 WD17N7550TV 54,800원"
148,"[대우전자] 클라쎄 DWF-14GCGC 167,040원"
149,"[삼성 전자] 버블샷 애드워시 WF19N8750TP 1,308,970원"
150,"[밀레] 프리미엄 F19BFW 1,191,110원"
151,"[밀레] 꼬망스 F5VR 1,099,800원"
152,"[삼성 전자] 워블 WA10F5S2QWW 1,211,730원"
153,"[삼성 전자] 버블샷 애드워시 WF19N8750TV 528,990원"
154,"[밀레] 프리미엄 F17WDSW 326,980원"
155,"[삼성 전자] 버블샷 애드워시 WD23N9951KV 315,470원"
156,"[밀레] 통돌이 T1007W 3,045,970원"
157,"[삼성 전자] 버블샷 애드워시 WD21N8950TV 1,620,220원"
158,"[밀레] 통돌이 블랙라벨 플러스 T15DS 545,000원"
159,"[밀레] 프리미엄 트윈워시 F10SRC 380,000원"
160,"[밀레] 프리미엄 F18WDAU 196,430원"
161,"[밀레] 프리미엄 FR17VPAT 1,385,100원"
162,"[대우전자] 공기방울 DWF-11GAWC 652,720원"
163,"[대우전자] 공기방울 DWF-17GDNC 544,260원"
164,"[대우전자] 공기방울 DWF-06EBWC 1,351,660원"
165,"[삼성 전자] 액티브워시 WA16N6780TG 1,263,500원"
166,"[삼성 전자] 액티브워시 WA10J5710SY 340,000원"
167,"[밀레] 통돌이 블랙라벨 플러스 T15SN 501,590원"
168,"[밀레] 프리미엄 F19VBT 267,790원"
169,"[삼성 전자] 액티브워시 WA15N6790CS 2,166,840원"
170,"[삼성 전자] 버블샷 WF21R8600KP 694,750원"
171,"[대우전자] 클라쎄 DWD-905WNB 327,150원"
172,"[밀레] 프리미엄 FR14WQW 747,300원"
173,"[밀레] 통돌이 블랙라벨 플러스 TS16BG 547,130원"
174,"[밀레] 프리미엄 F21WDT 131,340원"
175,"[삼성 전자] 버블샷 애드워시 WF19N8750TW 1,280,480원"
176,"[밀레] 통돌이 블랙라벨 플러스 T15ST 160,080원"
177,"[삼성 전자] 액티브워시 WA10J5710SW1 1,040,580원"
178,"[밀레] 통돌이 블랙라벨 플러스 T16DL 1,339,440원"
179,"[밀레] 시그니처 F21KBTM 1,070,090원"
180,"[삼성 전자] 액티브워시 WA16M6850KV1 139,640원"
181,"[삼성 전자] 버블샷 WF19R8600KV 2,599,600원"
182,"[삼성 전자] 플렉스워시 WV22N9670KV 185,000원"
183,"[밀레] 통돌이 T1407W8 55,710원"
184,"[밀레] 통돌이 블랙라벨 플러스 T18WT 713,970원"
185,"[삼성 전자] 액티브워시 WA14N6781BG 387,790원"
186,"[삼성 전자] 버블샷 애드워시 WF21N8750TW 1,247,890원"
187,"[삼성 전자] 버블샷 WF17R7200KP 915,990원"
188,"[밀레] 프리미엄 FR9WKB 599,660원"
189,"[밀레] 프리미엄 트윈워시 F19VBATM 510,000원"
190,"[삼성 전자] 버블샷 애드워시 WF17N7510TP 1,813,260원"
191,"[밀레] 프리미엄 FR2922NCZB 980,400원"
192,"[에코웰] 미니스핀 플러스 XPB35-918S 495,000원"
193,"[밀레] 프리미엄 F17VDW 89,910원"
194,"[삼성 전자] 버블샷 애드워시 WD17N7510TW 963,680원"
195,"[밀레] 프리미엄 트윈워시 F16WDBTM 940,500원"
196,"[밀레] 프리미엄 F19VDAT 1,029,000원"
197,"[밀레] 시그니처 F12WHTS 1,070,990원"
198,"[대우전자] 클라쎄 DWD-09HBWB 1,498,980원"
199,"[밀레] 통돌이 T16SJ 6,662,480원"
200,"[밀레] 프리미엄 F4KC 425,000원"
201,"[대우전자] 공기방울 DWF-15GCGH 759,390원"
202,"[밀레] 통돌이 TR15SK 634,490원"
203,"[삼성 전자] 버블샷 애드워시 WD17N7510TV 469,890원"
204,"[서울전자] BELLE 레트로 SDD70BS 2,626,190원"
205,"[밀레] 프리미엄 F2996NCZD 1,110,970원"
206,"[밀레] 프리미엄 F4WC 443,160원"
207,"[대우전자] 클라쎄 DWD-15PDBH 460,130원"
208,"[밀레] 통돌이 블랙라벨 플러스 TS22VV 2,938,990원"
209,"[삼성 전자] 액티브워시 WA15N6780BW 536,930원"
210,"[밀레] 시그니처 F21KBT 801,530원"
211,"[삼성 전자] 워블 WA16M6550KS1 1,715,500원"
212,"[삼성 전자] 버블샷 애드워시 WF17N7510TV 542,660원"
213,"[삼성 전자] 워블 WA17M7550TP 2,365,500원"
214,"[밀레] 프리미엄 F10SR 181,430원"
215,"[밀레] 통돌이 WF-CK106W 641,030원"
216,"[삼성 전자] 버블샷 애드워시 WF23N9951KP 923,320원"
217,"[삼성 전자] 버블샷 WD16J7100KW 3,014,890원"
218,"[밀레] 프리미엄 F16WDBW 434,000원"
219,"[대우전자] 공기방울 DWF-101EL 1,424,310원"
220,"[밀레] 프리미엄 트윈워시 F17WDBUM 913,140원"
221,"[삼성 전자] 버블샷 애드워시 WF21N8750TP 692,770원"
222,"[밀레] 통돌이 블랙라벨 T2432S0Z 629,330원"
223,"[밀레] 통돌이 T15SAF 1,285,990원"
224,"[삼성 전자] 버블샷 애드워시 WF21N8750KV 704,430원"
225,"[밀레] 프리미엄 FR24D7NQNZ 498,200원"
226,"[밀레] 프리미엄 F19WFW 365,750원"
227,"[밀레] 프리미엄 트윈워시 F17WDSWM 1,262,880원"
228,"[밀레] 프리미엄 F10WRA 2,726,000원"
229,"[일렉트로룩스] AEG AWF14113 471,610원"
230,"[삼성 전자] 액티브워시 WA16N6780BG 418,560원"
231,"[삼성 전자] 플렉스워시 WV24N9670KV 1,262,230원"
232,"[삼성 전자] 액티브워시 WA19M7870GV 876,640원"
233,"[삼성 전자] 플렉스워시 WV20N9670KW 3,053,600원"
234,"[밀레] 프리미엄 F4BC 697,900원"
235,"[밀레] 통돌이 TN14BF 1,979,990원"
236,"[밀레] 통돌이 블랙라벨 플러스 T16SH 1,602,790원"
237,"[밀레] 프리미엄 트윈워시 F17VDW1M 885,870원"
238,"[삼성 전자] 액티브워시 WA16N6790CV 1,302,190원"
239,"[밀레] 프리미엄 F14WQW 402,070원"
240,"[대우전자] 공기방울 DWF-15GAWD 602,090원"
241,"[삼성 전자] 플렉스워시 WR20M9970KW 589,000원"
242,"[밀레] 프리미엄 트윈워시 F21VDPM 782,370원"
243,"[대우전자] 클라쎄 DWF-15GDGR 739,130원"
244,"[밀레] 프리미엄 F24D7NQNZ 982,990원"
245,"[대우전자] 공기방울 DWF-16GDGC 143,840원"
246,"[에코웰] 모노스핀 XPB25-288A 359,190원"
247,"[대우전자] 클라쎄 DWD-15PDWPR 199,230원"
